run_id,f1,f2,P1,P2,Q1,Q2,wall_s,ok
4151,49.98251407,49.98309598,3459.626869,3305.488828,134.7299772,-125.5475802,3.8226647,1
4152,49.98694355,49.98692795,2615.269022,2610.295605,-19.89326282,-159.9886728,3.751802,1
4153,49.98276473,49.98656647,3323.521283,2602.358697,39.59897446,-144.7411685,3.8641712,1
4154,49.98675131,49.98670786,2723.004799,2591.146759,-57.44182614,-96.6933,3.856699,1
4155,49.98145497,49.98119359,3681.252164,3739.018262,74.70143348,51.67310021,3.8633411,1
4156,49.9869368,49.98692176,2618.294037,2610.006009,-19.43890305,-161.6562825,3.75011,1
4157,49.98574453,49.96680668,4244.398236,5228.418243,-482.3507667,-805.516116,3.7775309,1
4158,49.9850517,49.98503063,2992.315532,2988.90387,55.79806366,-83.43915371,3.7148169,1
4159,49.98694059,49.98693022,2615.828152,2610.005227,-20.51319627,-159.1549935,3.8042075,1
4160,49.98706455,49.98623084,2552.48408,2776.601715,3.067744555,-134.9007386,3.6808019,1
4161,49.98026289,49.98107081,3924.508947,3670.267428,243.470202,-51.94100156,3.7342756,1
4162,49.98692357,49.98691225,2619.490992,2614.017682,-21.70463484,-159.2713242,3.7233086,1
4163,49.98177808,49.98143329,3588.603071,3673.753772,48.95489724,45.49722768,3.6711171,1
4164,49.98506326,49.98506891,2990.438644,2984.686853,54.88144129,-83.15369515,3.6577853,1
4165,49.98627084,49.96609644,3881.250385,5621.743844,-399.1509555,-876.5029411,3.6149574,1
4166,49.9853815,49.98537978,2927.630363,2919.931246,55.00707293,-114.754847,3.6423335,1
4167,49.98527871,49.98527382,2947.144688,2942.114516,50.70056382,-116.8336802,3.7074158,1
4168,49.98527392,49.98528172,2948.308681,2940.41708,50.92964591,-117.0591896,3.7020836,1
4169,49.98526708,49.98526928,2949.976448,2942.435191,49.76218979,-119.3328961,3.6677442,1
4170,49.98526789,49.98526934,2948.843064,2943.54659,49.09249039,-118.5929606,3.662987,1
4171,49.98529593,49.98529327,2944.392527,2937.509178,44.82045903,-123.1670728,3.6931737,1
4172,49.98529475,49.9852949,2944.58382,2937.352665,45.28286164,-123.5480509,3.7180264,1
4173,49.9852737,49.98527642,2949.571895,2940.180089,54.85639086,-116.6950585,3.7022923,1
4174,49.97205214,49.97490226,4891.542325,5709.290893,42.3160935,-735.843903,3.6247974,1
4175,49.98386064,49.98388207,3229.14683,3221.990009,109.4019249,-60.40861214,3.7800746,1
4176,49.9786929,49.97958217,4231.72023,3945.149587,317.6148769,-32.73849061,3.6832036,1
4177,49.9854038,49.98488318,2913.472397,3026.007553,55.18112599,-106.0042593,3.6926704,1
4178,49.98013644,49.97929388,3851.198124,4104.27147,144.4407488,76.35479306,3.7119733,1
4179,49.98524455,49.98525955,2956.510526,2943.681814,53.26802884,-117.4068765,3.7528416,1
4180,49.9852823,49.98526738,2947.08977,2942.835604,54.28371264,-116.0951843,3.6643915,1
4181,49.98388114,49.98386844,3227.714703,3222.41728,109.5756895,-60.62221582,3.6751689,1
4182,49.98084919,49.96601608,4478.12324,6112.571444,82.77412086,-785.0116134,3.6251675,1
4183,49.98521944,49.98522499,2961.037035,2949.893167,48.84670683,-111.3432214,3.7205317,1
4184,49.97816046,49.97819021,4362.549261,4330.105891,350.0201821,45.69266428,3.6676965,1
4185,49.98527607,49.98523915,2948.700837,2948.314526,54.2856112,-118.2835909,3.6900484,1
4186,49.97973276,49.97902673,3955.596589,4164.030985,137.7317082,114.8218309,3.634424,1
4187,49.98527984,49.98527866,2947.747472,2940.483146,53.76636471,-117.2543098,3.6367903,1
4188,49.98498516,49.98224045,2957.024124,3413.858216,121.6130356,-136.0809777,3.7215465,1
4189,49.98543665,49.98475226,2937.306425,3032.711412,93.92594544,-135.4601327,3.7338389,1
4190,49.96703683,49.9810699,5420.041066,4985.537428,887.0951653,-241.5562188,3.6474707,1
4191,49.98458853,49.98455002,3087.245253,3084.966892,72.88697725,-97.8725502,3.7229372,1
4192,49.97950605,49.97976488,4087.863149,4002.885598,284.9583891,-3.546696186,3.6879614,1
4193,49.98527971,49.98528052,2947.35125,2940.320087,44.02452349,-123.6575598,3.6994286,1
4194,49.98527777,49.98528053,2948.334774,2940.027877,53.96217312,-117.5186043,3.7338533,1
4195,49.98559709,49.98423544,2971.213086,3067.922571,61.25476469,-89.6667318,3.7193062,1
4196,49.97819377,49.97804727,4340.127772,4371.918194,224.288141,192.3780316,3.7410235,1
4197,49.98456841,49.98457004,3089.555352,3081.959023,72.30614415,-97.40330839,3.7149826,1
4198,49.97105744,49.97703564,5138.710427,5226.486916,-129.7901009,691.979401,3.6397316,1
4199,49.98527036,49.98529016,2947.25958,2940.531904,43.68394939,-123.3315289,3.7597296,1
4200,49.98010775,49.98080005,3940.081494,3741.9326,256.6840874,-57.77170925,3.8140095,1
4201,49.98531322,49.9853087,2941.437313,2934.130128,43.48739804,-126.4491192,3.7921483,1
4202,49.98000684,49.98124327,3966.808712,3614.577701,202.3926286,-50.65303834,3.7458675,1
4203,49.9852591,49.98526114,2951.720969,2944.051671,48.36956936,-115.8290656,3.7485874,1
4204,49.97994158,49.97958604,3973.377886,4061.636494,148.6664869,96.8691136,3.7952479,1
