run_id,R_a,R_b,R_c,DG1_PWM1,DG1_PWM2,DG1_PWM3,DG1_PWM4,DG1_PWM5,DG1_PWM6,DG2_PWM1,DG2_PWM2,DG2_PWM3,DG2_PWM4,DG2_PWM5,DG2_PWM6,V1_a,V1_b,V1_c,I1_a,I1_b,I1_c,V2_a,V2_b,V2_c,I2_a,I2_b,I2_c
26,64,24,32,1,1,0,1,1,1,1,1,1,0,1,1,269.9970843,224.8664859,197.7416895,32.31636849,8.456947927,38.21989931,270.2402814,225.7920895,198.2412062,32.29203163,8.400632268,38.09934848
27,64,24,32,1,1,0,1,1,1,1,1,1,1,0,1,272.361938,220.3833787,201.2621786,68.98628597,29.22746381,66.19036943,266.392629,228.829437,199.5930253,68.64558257,34.4050227,64.43488829
28,64,24,32,1,1,0,1,1,1,1,1,1,1,1,0,265.6495002,225.630254,202.3570095,10.58884879,8.875440362,7.211933353,264.5719452,228.1490219,202.9775082,10.29269654,12.30657117,3.240789387
29,64,24,32,1,1,1,0,1,1,1,1,1,1,1,1,267.4438509,224.5681184,201.2409965,9.980596723,4.343418194,9.65975941,266.2956891,225.5138074,203.4823653,7.155345735,9.385361401,10.98222211
30,64,24,32,1,1,1,0,1,1,0,1,1,1,1,1,267.7246149,224.2155059,201.3675909,11.77268663,4.230296146,11.45584209,266.5003664,225.2169782,203.5864426,9.452343706,9.490248269,12.50682409
31,64,24,32,1,1,1,0,1,1,1,0,1,1,1,1,267.8661525,221.5887212,203.8746596,31.91488972,59.65855626,64.01964073,261.635032,225.6606603,210.970829,28.77195752,62.00363344,64.44650247
32,64,24,32,1,1,1,0,1,1,1,1,0,1,1,1,269.9883002,224.8709984,197.7485169,32.22154389,8.455443539,38.12364932,270.2276126,225.793424,198.2427193,32.19603662,8.400520556,38.00325675
33,64,24,32,1,1,1,0,1,1,1,1,1,0,1,1,333.9603984,253.78918,338.075102,15.3726177,9.990972858,15.53490156,335.9537717,257.4455285,339.4537507,16.75766839,12.63814431,15.0943602
34,64,24,32,1,1,1,0,1,1,1,1,1,1,0,1,267.354021,226.0574678,200.7878099,12.95605363,11.51102254,7.581410105,266.2851511,228.6637054,201.4443883,12.73069202,14.29020077,3.646259292
35,64,24,32,1,1,1,0,1,1,1,1,1,1,1,0,270.1352048,222.3581169,200.9837711,49.93824588,18.92276154,48.39794748,266.320138,228.4751834,201.2430028,49.64966696,24.65316263,47.12203426
36,64,24,32,1,1,1,1,0,1,1,1,1,1,1,1,263.6608509,226.461076,203.8674197,7.153485121,9.729377106,3.470636937,265.1491768,225.9641953,204.313729,7.665429662,5.597432947,6.922478454
37,64,24,32,1,1,1,1,0,1,0,1,1,1,1,1,263.6231066,226.4585627,203.918552,7.364399907,9.936805548,3.336938342,265.1337431,225.8950878,204.4078002,7.802233518,5.846940639,7.037331815
38,64,24,32,1,1,1,1,0,1,1,0,1,1,1,1,261.9517956,229.2067737,204.9930678,12.43095646,28.53610472,25.37732278,262.0195352,227.8178504,207.8261514,9.527437446,28.51417845,27.29080111
39,64,24,32,1,1,1,1,0,1,1,1,0,1,1,1,266.5688079,227.1948731,199.2815758,68.7378731,34.5857391,64.62455256,272.9995107,220.52697,202.1520179,68.90112162,29.14401597,66.06845901
40,64,24,32,1,1,1,1,0,1,1,1,1,0,1,1,269.5982475,229.584645,198.2618446,17.56090587,19.08610165,4.99939526,270.5315415,228.4942018,198.4023312,17.32552017,16.99844214,7.9414128
41,64,24,32,1,1,1,1,0,1,1,1,1,1,0,1,442.3839663,265.6944399,188.0569804,23.71226007,26.23512194,14.10868538,444.0563147,270.5929762,195.3110382,21.80291066,27.00908877,17.17288478
42,64,24,32,1,1,1,1,0,1,1,1,1,1,1,0,261.6311692,227.7981379,204.9038837,22.98727654,19.09058547,6.343715868,261.8239019,228.7250586,205.4995981,22.924916,19.1151914,6.341712067
43,64,24,32,1,1,1,1,1,0,1,1,1,1,1,1,263.6587742,226.4578137,203.8685559,7.123028145,9.709682427,3.467959969,265.1462358,225.96011,204.3183003,7.634073617,5.567457058,6.920517684
44,64,24,32,1,1,1,1,1,0,0,1,1,1,1,1,264.6945591,224.6934999,204.5173583,5.819024779,10.30021576,5.590638828,265.5588574,224.0905291,205.9471814,3.949521596,8.632497951,9.316524308
45,64,24,32,1,1,1,1,1,0,1,0,1,1,1,1,264.1584056,229.052801,201.8264949,50.32546528,51.19382674,19.26760696,263.2394029,225.9595249,207.2524894,49.07818686,50.93188547,23.91950866
46,64,24,32,1,1,1,1,1,0,1,1,0,1,1,1,265.1919373,226.5522,201.2888495,13.29993913,14.76442755,3.342072024,267.1272652,225.9956601,201.8021794,13.91415284,12.35584072,7.798461327
47,64,24,32,1,1,1,1,1,0,1,1,1,0,1,1,266.6994152,227.3380113,199.6885654,64.51328458,32.62739361,60.57868928,272.5219089,221.1316705,202.0466898,64.640506,27.0603518,61.92424059
48,64,24,32,1,1,1,1,1,0,1,1,1,1,0,1,261.6362237,227.8004021,204.9040524,22.99995356,19.10373496,6.34447992,261.8273463,228.7232878,205.4976918,22.93453494,19.12294743,6.341412657
49,64,24,32,1,1,1,1,1,0,1,1,1,1,1,0,444.3754317,270.6570653,197.8345982,17.76323078,21.96911874,13.45908544,443.8393981,268.4810387,193.2761307,19.12697082,20.71596001,10.37590155
50,16,24,32,1,1,1,1,1,1,1,1,1,1,1,1,208.9569294,219.4197123,264.3473122,7.508268509,5.26305613,4.734983073,210.161586,220.1501806,265.1945669,6.853047521,5.301017208,5.179966023
51,16,24,32,1,1,1,1,1,1,0,1,1,1,1,1,208.6033535,218.7080892,265.3067469,12.38907672,13.25296022,8.366351181,209.4415349,217.5123089,268.091275,4.670189094,11.93220247,12.89843432
52,16,24,32,1,1,1,1,1,1,1,0,1,1,1,1,208.6013769,218.7090285,265.3063462,12.38955951,13.25406389,8.347132059,209.4388481,217.5147374,268.0970049,4.666538805,11.91556187,12.88690301
53,16,24,32,1,1,1,1,1,1,1,1,0,1,1,1,209.5005634,219.3040147,264.1203308,7.946086236,9.106778443,10.50781665,212.4961397,220.0566426,263.5624566,12.50524611,4.086947823,10.48034891
54,16,24,32,1,1,1,1,1,1,1,1,1,0,1,1,209.5013348,219.2968592,264.1235329,7.946683211,9.106305658,10.50239835,212.5006536,220.0494769,263.5634723,12.5097574,4.091257457,10.47760205
55,16,24,32,1,1,1,1,1,1,1,1,1,1,0,1,208.7236047,220.1562841,263.9930373,12.71942226,6.956227247,8.856375317,208.3625676,222.3125934,264.9392202,11.46150394,11.88959424,4.543925206
56,16,24,32,1,1,1,1,1,1,1,1,1,1,1,0,208.7178034,220.1541599,263.9976026,12.74150769,7.004498623,8.858179428,208.3606785,222.3156542,264.9432185,11.50294199,11.92158508,4.541436116
57,16,24,32,0,1,1,1,1,1,1,1,1,1,1,1,208.1239387,216.6341262,267.4405807,4.985001065,12.13057058,12.87648282,209.8906432,219.2627059,266.2009418,12.16433619,13.07938716,8.764452941
58,16,24,32,0,1,1,1,1,1,0,1,1,1,1,1,233.7114321,358.5772541,326.3916764,13.83996034,19.79029297,20.17558449,237.9739403,360.5127092,328.6288674,16.48397515,18.49754339,20.91130071
