run_id,R_a,R_b,R_c,DG1_PWM1,DG1_PWM2,DG1_PWM3,DG1_PWM4,DG1_PWM5,DG1_PWM6,DG2_PWM1,DG2_PWM2,DG2_PWM3,DG2_PWM4,DG2_PWM5,DG2_PWM6,V1_a,V1_b,V1_c,I1_a,I1_b,I1_c,V2_a,V2_b,V2_c,I2_a,I2_b,I2_c
4763,24,64,24,0,1,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
4764,24,64,24,0,1,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,
4765,24,64,24,0,1,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,
4766,24,64,24,0,1,1,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,
4767,24,64,24,0,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,
4768,24,64,24,1,0,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
4769,24,64,24,1,0,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,
4770,24,64,24,1,0,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
4771,24,64,24,1,0,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,
4772,24,64,24,1,0,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,
4773,24,64,24,1,0,1,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,
4774,24,64,24,1,0,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,
4775,24,64,24,1,1,0,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
4776,24,64,24,1,1,0,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,
4777,24,64,24,1,1,0,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
4778,24,64,24,1,1,0,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,
4779,24,64,24,1,1,0,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,
4780,24,64,24,1,1,0,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,
4781,24,64,24,1,1,0,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,
4782,24,64,24,1,1,1,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,
4783,24,64,24,1,1,1,0,1,1,0,1,1,1,1,1,,,,,,,,,,,,
4784,24,64,24,1,1,1,0,1,1,1,0,1,1,1,1,,,,,,,,,,,,
4785,24,64,24,1,1,1,0,1,1,1,1,0,1,1,1,,,,,,,,,,,,
4786,24,64,24,1,1,1,0,1,1,1,1,1,0,1,1,,,,,,,,,,,,
4787,24,64,24,1,1,1,0,1,1,1,1,1,1,0,1,,,,,,,,,,,,
4788,24,64,24,1,1,1,0,1,1,1,1,1,1,1,0,,,,,,,,,,,,
4789,24,64,24,1,1,1,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,
4790,24,64,24,1,1,1,1,0,1,0,1,1,1,1,1,,,,,,,,,,,,
4791,24,64,24,1,1,1,1,0,1,1,0,1,1,1,1,,,,,,,,,,,,
4792,24,64,24,1,1,1,1,0,1,1,1,0,1,1,1,,,,,,,,,,,,
4793,24,64,24,1,1,1,1,0,1,1,1,1,0,1,1,,,,,,,,,,,,
4794,24,64,24,1,1,1,1,0,1,1,1,1,1,0,1,,,,,,,,,,,,
4795,24,64,24,1,1,1,1,0,1,1,1,1,1,1,0,,,,,,,,,,,,
4796,24,64,24,1,1,1,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,
4797,24,64,24,1,1,1,1,1,0,0,1,1,1,1,1,,,,,,,,,,,,
4798,24,64,24,1,1,1,1,1,0,1,0,1,1,1,1,,,,,,,,,,,,
4799,24,64,24,1,1,1,1,1,0,1,1,0,1,1,1,,,,,,,,,,,,
4800,24,64,24,1,1,1,1,1,0,1,1,1,0,1,1,,,,,,,,,,,,
4801,24,64,24,1,1,1,1,1,0,1,1,1,1,0,1,,,,,,,,,,,,
4802,24,64,24,1,1,1,1,1,0,1,1,1,1,1,0,,,,,,,,,,,,
4803,64,48,48,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
4804,64,48,48,1,1,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,
4805,64,48,48,1,1,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
4806,64,48,48,1,1,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,
4807,64,48,48,1,1,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,
4808,64,48,48,1,1,1,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,
4809,64,48,48,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,
4810,64,48,48,0,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
4811,64,48,48,0,1,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,
4812,64,48,48,0,1,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
4813,64,48,48,0,1,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,
4814,64,48,48,0,1,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,
4815,64,48,48,0,1,1,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,
4816,64,48,48,0,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,
4817,64,48,48,1,0,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
4818,64,48,48,1,0,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,
4819,64,48,48,1,0,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
4820,64,48,48,1,0,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,
4821,64,48,48,1,0,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,
4822,64,48,48,1,0,1,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,
4823,64,48,48,1,0,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,
4824,64,48,48,1,1,0,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
4825,64,48,48,1,1,0,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,
4826,64,48,48,1,1,0,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
4827,64,48,48,1,1,0,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,
4828,64,48,48,1,1,0,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,
4829,64,48,48,1,1,0,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,
4830,64,48,48,1,1,0,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,
4831,64,48,48,1,1,1,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,
4832,64,48,48,1,1,1,0,1,1,0,1,1,1,1,1,,,,,,,,,,,,
4833,64,48,48,1,1,1,0,1,1,1,0,1,1,1,1,,,,,,,,,,,,
4834,64,48,48,1,1,1,0,1,1,1,1,0,1,1,1,,,,,,,,,,,,
4835,64,48,48,1,1,1,0,1,1,1,1,1,0,1,1,,,,,,,,,,,,
4836,64,48,48,1,1,1,0,1,1,1,1,1,1,0,1,,,,,,,,,,,,
4837,64,48,48,1,1,1,0,1,1,1,1,1,1,1,0,,,,,,,,,,,,
4838,64,48,48,1,1,1,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,
4839,64,48,48,1,1,1,1,0,1,0,1,1,1,1,1,,,,,,,,,,,,
4840,64,48,48,1,1,1,1,0,1,1,0,1,1,1,1,,,,,,,,,,,,
4841,64,48,48,1,1,1,1,0,1,1,1,0,1,1,1,,,,,,,,,,,,
4842,64,48,48,1,1,1,1,0,1,1,1,1,0,1,1,,,,,,,,,,,,
4843,64,48,48,1,1,1,1,0,1,1,1,1,1,0,1,,,,,,,,,,,,
4844,64,48,48,1,1,1,1,0,1,1,1,1,1,1,0,,,,,,,,,,,,
4845,64,48,48,1,1,1,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,
4846,64,48,48,1,1,1,1,1,0,0,1,1,1,1,1,,,,,,,,,,,,
4847,64,48,48,1,1,1,1,1,0,1,0,1,1,1,1,,,,,,,,,,,,
4848,64,48,48,1,1,1,1,1,0,1,1,0,1,1,1,,,,,,,,,,,,
4849,64,48,48,1,1,1,1,1,0,1,1,1,0,1,1,,,,,,,,,,,,
4850,64,48,48,1,1,1,1,1,0,1,1,1,1,0,1,,,,,,,,,,,,
4851,64,48,48,1,1,1,1,1,0,1,1,1,1,1,0,,,,,,,,,,,,
4852,16,48,48,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
4853,16,48,48,1,1,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,
4854,16,48,48,1,1,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
4855,16,48,48,1,1,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,
4856,16,48,48,1,1,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,
4857,16,48,48,1,1,1,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,
4858,16,48,48,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,
4859,16,48,48,0,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
4860,16,48,48,0,1,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,
4861,16,48,48,0,1,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
4862,16,48,48,0,1,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,
4863,16,48,48,0,1,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,
4864,16,48,48,0,1,1,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,
4865,16,48,48,0,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,
4866,16,48,48,1,0,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
4867,16,48,48,1,0,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,
4868,16,48,48,1,0,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
4869,16,48,48,1,0,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,
4870,16,48,48,1,0,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,
4871,16,48,48,1,0,1,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,
4872,16,48,48,1,0,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,
4873,16,48,48,1,1,0,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
4874,16,48,48,1,1,0,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,
4875,16,48,48,1,1,0,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
4876,16,48,48,1,1,0,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,
4877,16,48,48,1,1,0,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,
4878,16,48,48,1,1,0,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,
4879,16,48,48,1,1,0,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,
4880,16,48,48,1,1,1,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,
4881,16,48,48,1,1,1,0,1,1,0,1,1,1,1,1,,,,,,,,,,,,
4882,16,48,48,1,1,1,0,1,1,1,0,1,1,1,1,,,,,,,,,,,,
4883,16,48,48,1,1,1,0,1,1,1,1,0,1,1,1,,,,,,,,,,,,
4884,16,48,48,1,1,1,0,1,1,1,1,1,0,1,1,,,,,,,,,,,,
4885,16,48,48,1,1,1,0,1,1,1,1,1,1,0,1,,,,,,,,,,,,
4886,16,48,48,1,1,1,0,1,1,1,1,1,1,1,0,,,,,,,,,,,,
4887,16,48,48,1,1,1,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,
4888,16,48,48,1,1,1,1,0,1,0,1,1,1,1,1,,,,,,,,,,,,
4889,16,48,48,1,1,1,1,0,1,1,0,1,1,1,1,,,,,,,,,,,,
4890,16,48,48,1,1,1,1,0,1,1,1,0,1,1,1,,,,,,,,,,,,
4891,16,48,48,1,1,1,1,0,1,1,1,1,0,1,1,,,,,,,,,,,,
4892,16,48,48,1,1,1,1,0,1,1,1,1,1,0,1,,,,,,,,,,,,
4893,16,48,48,1,1,1,1,0,1,1,1,1,1,1,0,,,,,,,,,,,,
4894,16,48,48,1,1,1,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,
4895,16,48,48,1,1,1,1,1,0,0,1,1,1,1,1,,,,,,,,,,,,
4896,16,48,48,1,1,1,1,1,0,1,0,1,1,1,1,,,,,,,,,,,,
4897,16,48,48,1,1,1,1,1,0,1,1,0,1,1,1,,,,,,,,,,,,
4898,16,48,48,1,1,1,1,1,0,1,1,1,0,1,1,,,,,,,,,,,,
4899,16,48,48,1,1,1,1,1,0,1,1,1,1,0,1,,,,,,,,,,,,
4900,16,48,48,1,1,1,1,1,0,1,1,1,1,1,0,,,,,,,,,,,,
4901,24,48,96,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
4902,24,48,96,1,1,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,
4903,24,48,96,1,1,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
4904,24,48,96,1,1,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,
4905,24,48,96,1,1,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,
4906,24,48,96,1,1,1,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,
4907,24,48,96,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,
4908,24,48,96,0,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
4909,24,48,96,0,1,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,
4910,24,48,96,0,1,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
4911,24,48,96,0,1,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,
4912,24,48,96,0,1,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,
4913,24,48,96,0,1,1,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,
4914,24,48,96,0,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,
4915,24,48,96,1,0,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
4916,24,48,96,1,0,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,
4917,24,48,96,1,0,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
4918,24,48,96,1,0,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,
4919,24,48,96,1,0,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,
4920,24,48,96,1,0,1,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,
4921,24,48,96,1,0,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,
4922,24,48,96,1,1,0,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
4923,24,48,96,1,1,0,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,
4924,24,48,96,1,1,0,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
4925,24,48,96,1,1,0,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,
4926,24,48,96,1,1,0,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,
4927,24,48,96,1,1,0,1,1,1,1,1,1,1,0,1,,,,,,,,,,,,
4928,24,48,96,1,1,0,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,
4929,24,48,96,1,1,1,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,
4930,24,48,96,1,1,1,0,1,1,0,1,1,1,1,1,,,,,,,,,,,,
4931,24,48,96,1,1,1,0,1,1,1,0,1,1,1,1,,,,,,,,,,,,
4932,24,48,96,1,1,1,0,1,1,1,1,0,1,1,1,,,,,,,,,,,,
4933,24,48,96,1,1,1,0,1,1,1,1,1,0,1,1,,,,,,,,,,,,
4934,24,48,96,1,1,1,0,1,1,1,1,1,1,0,1,,,,,,,,,,,,
4935,24,48,96,1,1,1,0,1,1,1,1,1,1,1,0,,,,,,,,,,,,
4936,24,48,96,1,1,1,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,
4937,24,48,96,1,1,1,1,0,1,0,1,1,1,1,1,,,,,,,,,,,,
4938,24,48,96,1,1,1,1,0,1,1,0,1,1,1,1,,,,,,,,,,,,
4939,24,48,96,1,1,1,1,0,1,1,1,0,1,1,1,,,,,,,,,,,,
4940,24,48,96,1,1,1,1,0,1,1,1,1,0,1,1,,,,,,,,,,,,
4941,24,48,96,1,1,1,1,0,1,1,1,1,1,0,1,,,,,,,,,,,,
4942,24,48,96,1,1,1,1,0,1,1,1,1,1,1,0,,,,,,,,,,,,
4943,24,48,96,1,1,1,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,
4944,24,48,96,1,1,1,1,1,0,0,1,1,1,1,1,,,,,,,,,,,,
4945,24,48,96,1,1,1,1,1,0,1,0,1,1,1,1,,,,,,,,,,,,
4946,24,48,96,1,1,1,1,1,0,1,1,0,1,1,1,,,,,,,,,,,,
4947,24,48,96,1,1,1,1,1,0,1,1,1,0,1,1,,,,,,,,,,,,
4948,24,48,96,1,1,1,1,1,0,1,1,1,1,0,1,,,,,,,,,,,,
4949,24,48,96,1,1,1,1,1,0,1,1,1,1,1,0,,,,,,,,,,,,
4950,48,96,16,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
4951,48,96,16,1,1,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,
4952,48,96,16,1,1,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,,
