run_id,R_a,R_b,R_c,DG1_PWM1,DG1_PWM2,DG1_PWM3,DG1_PWM4,DG1_PWM5,DG1_PWM6,DG2_PWM1,DG2_PWM2,DG2_PWM3,DG2_PWM4,DG2_PWM5,DG2_PWM6,V1_a,V1_b,V1_c,I1_a,I1_b,I1_c,V2_a,V2_b,V2_c,I2_a,I2_b,I2_c,I1mean_a,I1mean_b,I1mean_c,I2mean_a,I2mean_b,I2mean_c,V1f_a,V1f_b,V1f_c,I1f_a,I1f_b,I1f_c,V2f_a,V2f_b,V2f_c,I2f_a,I2f_b,I2f_c,V1ang_a,V1ang_b,V1ang_c,I1ang_a,I1ang_b,I1ang_c,V2ang_a,V2ang_b,V2ang_c,I2ang_a,I2ang_b,I2ang_c,f1,f2,P1,P2,Q1,Q2,wall_s,ok
50,16,24,32,1,1,1,1,1,1,1,1,1,1,1,1,208.9569294,219.4197123,264.3473122,7.508268509,5.26305613,4.734983073,210.161586,220.1501806,265.1945669,6.853047521,5.301017208,5.179966023,-0.001995545726,-0.004690130549,0.006830655693,0.002289787803,0.003459819872,-0.005602281749,208.9460585,219.4210083,264.3543049,7.507635407,5.26274595,4.734718579,210.1506601,220.1515476,265.2015527,6.852441813,5.300829925,5.179771079,0,-135.9257786,113.7918516,-1.468698262,-141.8998367,114.4862595,0.1386518601,-135.7859411,113.8717711,1.167614189,-130.251699,112.9629225,49.98013917,49.98014512,3977.405556,3965.487525,87.78643834,-173.533519,22.091874,1
51,16,24,32,1,1,1,1,1,1,0,1,1,1,1,1,208.6033535,218.7080892,265.3067469,12.38907672,13.25296022,8.366351181,209.4415349,217.5123089,268.091275,4.670189094,11.93220247,12.89843432,2.170073522,-9.763206099,7.593269409,-2.145035687,9.809351726,-7.664179515,208.5914304,218.708733,265.3093075,12.0411367,8.602680014,1.921686635,209.4264152,217.4812389,268.0635089,3.658415746,6.311258429,9.943757775,0,-135.6465385,113.9064631,12.0480775,-172.8959614,-162.4076959,-0.4489952886,-135.2873942,114.1806139,-45.52564195,-80.36979375,102.8271643,49.97999301,49.97998076,4007.037491,3997.780621,83.70593407,-174.4654679,5.2116096,1
52,16,24,32,1,1,1,1,1,1,1,0,1,1,1,1,208.6013769,218.7090285,265.3063462,12.38955951,13.25406389,8.347132059,209.4388481,217.5147374,268.0970049,4.666538805,11.91556187,12.88690301,-2.16822244,9.740408108,-7.572048708,2.143674452,-9.788936027,7.64539635,208.5894743,218.7096589,265.3089282,12.04264634,8.625033461,1.900331786,209.4236935,217.483366,268.0690023,3.656899834,6.307943671,9.940894592,0,-135.6462909,113.905608,12.04442694,-172.8661468,-162.4446832,-0.4495996238,-135.286085,114.1794838,-45.54150449,-80.16554498,102.9481523,49.97998649,49.97998805,4008.55528,3996.048132,84.11838005,-174.8388385,4.6826216,1
53,16,24,32,1,1,1,1,1,1,1,1,0,1,1,1,209.5005634,219.3040147,264.1203308,7.946086236,9.106778443,10.50781665,212.4961397,220.0566426,263.5624566,12.50524611,4.086947823,10.48034891,6.141213641,1.944310216,-8.085391399,-6.216939284,-1.915732667,8.132806861,209.4882151,219.3033964,264.1259675,4.566236199,8.748382252,6.520334322,212.4636164,220.0547876,263.5490483,10.63497547,3.222067302,6.417898643,0,-136.0960629,113.9814032,28.31876055,-120.2068729,74.13119768,0.2554915666,-136.4419661,114.3089746,-11.93128074,174.517808,154.5050938,49.97997513,49.97997888,4010.408094,3998.367181,80.93871984,-178.6628484,4.5410011,1
54,16,24,32,1,1,1,1,1,1,1,1,1,0,1,1,209.5013348,219.2968592,264.1235329,7.946683211,9.106305658,10.50239835,212.5006536,220.0494769,263.5634723,12.5097574,4.091257457,10.47760205,-6.133175616,-1.946925558,8.080242339,6.209401461,1.915888058,-8.125150136,209.488984,219.2962731,264.1291754,4.566068271,8.747777267,6.516294021,212.4680769,220.047585,263.5501427,10.63978574,3.227237434,6.418237811,0,-136.0951231,113.9836924,28.40730318,-120.1690275,74.13737026,0.2559021595,-136.441679,114.3119622,-11.95918395,174.4816385,154.4710444,49.97998005,49.97997415,4009.160521,3999.685037,80.74655095,-178.4486924,4.7508094,1
55,16,24,32,1,1,1,1,1,1,1,1,1,1,0,1,208.7236047,220.1562841,263.9930373,12.71942226,6.956227247,8.856375317,208.3625676,222.3125934,264.9392202,11.46150394,11.88959424,4.543925206,-8.386773855,6.585385213,1.801533045,8.443877247,-6.65868998,-1.78503432,208.7122956,220.1542942,263.9988508,9.386366707,0.9297621455,8.516481146,208.3291753,222.2875468,264.943385,7.533456235,9.635161215,3.845049806,0,-135.9516607,113.5047737,-28.69681714,-142.023,135.7745224,0.4180391959,-135.4912447,113.1694263,36.33351142,-135.3645191,55.30048955,49.98001453,49.98001208,4002.088654,3992.253685,73.53189784,-185.7220185,4.2907657,1
56,16,24,32,1,1,1,1,1,1,1,1,1,1,1,0,208.7178034,220.1541599,263.9976026,12.74150769,7.004498623,8.858179428,208.3606785,222.3156542,264.9432185,11.50294199,11.92158508,4.541436116,8.429382734,-6.633832795,-1.79539574,-8.486466193,6.705435596,1.781186362,208.7064913,220.1521266,264.0033953,9.373839094,0.9252012187,8.517393709,208.3270323,222.2902845,264.947485,7.542986866,9.638456588,3.840107476,0,-135.94921,113.5043702,-28.72700377,-141.3327678,135.7407368,0.4187216788,-135.489173,113.1688907,36.26514157,-135.4308137,55.30092496,49.98001707,49.98000764,4002.147239,3992.395535,73.89093291,-186.1154929,4.4328574,1
57,16,24,32,0,1,1,1,1,1,1,1,1,1,1,1,208.1239387,216.6341262,267.4405807,4.985001065,12.13057058,12.87648282,209.8906432,219.2627059,266.2009418,12.16433619,13.07938716,8.764452941,-2.341053334,10.22750027,-7.886314449,2.331296703,-10.09830308,7.767138325,208.1084056,216.5998037,267.4074042,3.884027408,5.92185453,9.610951361,209.8789099,219.2632875,266.2029315,11.7640918,7.857723468,2.354391675,0,-134.7831041,114.5689237,-43.15997513,-86.42160503,100.7846709,0.7379394683,-134.9168246,114.4839655,13.02246849,-169.3307115,-171.9950761,49.97998788,49.97998319,4008.927405,3996.792631,90.06802614,-173.7530612,4.3195781,1
58,16,24,32,0,1,1,1,1,1,0,1,1,1,1,1,233.7114321,358.5772541,326.3916764,13.83996034,19.79029297,20.17558449,237.9739403,360.5127092,328.6288674,16.48397515,18.49754339,20.91130071,-0.9959223208,10.2410194,-9.248367609,-7.714419408,1.096997483,6.614247725,160.0060861,252.9804466,287.3991574,4.360244001,4.374321295,2.538721561,162.8549913,255.701497,289.8614779,8.814782982,9.335777964,9.245326439,0,-125.6392113,97.76901113,48.92784212,-84.15027297,144.5632748,0.1010979468,-125.5375464,97.96177195,-22.10280978,-143.8622574,86.1760221,49.97082582,49.95809086,6067.267223,8128.030021,-85.13287914,-832.9736666,4.6408949,1
59,16,24,32,0,1,1,1,1,1,1,0,1,1,1,1,207.840672,213.6475977,269.9872239,10.70383299,39.00254817,32.11219289,209.2017969,214.3742511,270.7121931,10.62847826,38.79602212,32.08100522,-6.856747676,36.22676516,-29.369899,6.801399638,-36.08349108,29.28220208,207.6874704,213.4549466,269.7904434,7.156887634,5.330628271,4.858026121,209.0356573,214.1665558,270.5307908,7.115727045,4.909110488,5.271585179,0,-133.9831339,115.3719803,0.04035955935,-137.1828029,112.1420705,0.1505659947,-133.8833496,115.4722625,-0.4479836922,-130.8028758,118.1625767,49.9784254,49.97837872,4320.487411,4318.581566,166.9832879,-93.04344627,4.2495674,1
