V1_a,V1_b,V1_c,I1_a,I1_b,I1_c,V2_a,V2_b,V2_c,I2_a,I2_b,I2_c,f1,f2,P1,P2,Q1,Q2,I1mean_a,I1mean_b,I1mean_c,I1pos_a,I1pos_b,I1pos_c,I1neg_a,I1neg_b,I1neg_c,I2mean_a,I2mean_b,I2mean_c,I2pos_a,I2pos_b,I2pos_c,I2neg_a,I2neg_b,I2neg_c,ok,err,case,desc,R_A_a,R_A_b,R_A_c,F1,F2,wall_s
229.466467320748,229.481355679483,229.479159493091,4.30899557171338,4.30715530044404,4.31153851754922,230.082908740118,230.098972828035,230.097228875022,4.29934062058188,4.30162250132038,4.29725041624637,49.9851717657935,49.9851718370404,2969.46218694621,2961.6341630665,94.7823863107176,-80.1841853299357,0.000673262280795425,-0.00649929185872276,0.00582603128038935,4.31740404646426,4.30710647290266,4.32576811128826,4.30060221001242,4.30720389614107,4.29730818875333,-0.000784616303352912,0.00562509217368422,-0.00484047504619437,4.28987299648593,4.30774556302237,4.28081638612878,4.30883235448331,4.29549837396997,4.31372424409038,1,,1,"healthy, balanced 32",32,32,32,[1 1 1 1 1 1],[1 1 1 1 1 1],19.1631909
229.409995684812,227.685612280569,231.430107494348,3.89772477995952,8.47274214031038,9.74292575968512,229.920147002725,229.716693321002,230.70716920352,7.73068551055484,9.42172798026351,5.66644875433154,49.9850774129536,49.9850772749438,2988.99969834511,2979.91887713688,89.5744859199471,-86.0976299907338,-1.52094059613711,6.95614626984907,-5.43520567284053,3.37976024057407,9.05553840524507,3.82601571761095,4.13907332700248,0.574865552593554,11.7488656228047,1.52674187169947,-6.88654625741827,5.35980438547519,9.3364908292191,1.07542068775693,5.66644875433154,5.67562569226466,10.4872285519703,0,1,,2,"DG1 pulse 1 open",32,32,32,[0 1 1 1 1 1],[1 1 1 1 1 1],6.3579627
229.40784781741,227.692449414419,231.428618391911,3.89798733445153,8.42768768414363,9.70291877871721,229.918466047935,229.721328838381,230.707886076894,7.72590926085326,9.39053150007296,5.60870616485644,49.9850844930328,49.9850716959953,2987.19737299804,2981.51073665213,89.2054528814681,-85.6961973352829,1.52674650473634,-6.90780922375793,5.38106271772855,4.14252686816854,0.615279509041343,11.7020289663827,3.37305140437215,9.01787814884143,3.85922121070846,-1.53241640212337,6.83689558679983,-5.30447917840007,5.65792298078761,10.4729443085525,0,9.34445718374999,1.12200877007445,5.60870616485644,1,,3,"DG1 pulse 2 open",32,32,32,[1 0 1 1 1 1],[1 1 1 1 1 1],6.0437486
231.415683497601,229.421409400358,227.689814456397,9.72406984473957,3.89584291452382,8.4598722570153,230.695723498149,229.933730396145,229.718208947982,5.64450634003893,7.72577422026491,9.40848289500869,49.9850763182371,49.9850789677483,2988.12490108225,2980.74380615253,89.3520008992136,-85.799643740085,-5.4116291918299,-1.52726990252335,6.93889908893701,3.84196040788195,3.37688890600604,9.04984536709794,11.7280648870105,4.13694254926531,0.606673675736412,5.33559563515841,1.53225391450894,-6.86784955176203,5.64450634003893,9.33611118057206,1.10243786797577,0,5.66282893743126,10.4709642657883,1,,4,"DG1 pulse 3 open",32,32,32,[1 1 0 1 1 1],[1 1 1 1 1 1],5.9778701
231.408047405737,229.419167634476,227.694865593556,9.71100897769331,3.90049514657688,8.44266601037025,230.692934151613,229.929024335657,229.727370824998,5.63633047451382,7.72737936508793,9.40596737055948,49.9850788791633,49.9850768252803,2988.23248135406,2980.45114835794,90.0812503271527,-86.5964846095131,5.40124683081467,1.52780206687016,-6.92904891635506,11.7129544280396,4.1485847495023,0.575442316682586,3.8331601573109,3.3693572266978,9.03108027265749,-5.32558946850829,-1.53425646076807,6.85984592806962,0,5.65971579358597,10.4841954233581,5.63633047451382,9.34432521867809,1.10491161660334,1,,5,"DG1 pulse 4 open",32,32,32,[1 1 1 0 1 1],[1 1 1 1 1 1],6.3618786
227.677076310017,231.418740056018,229.42150140516,8.4376763862556,9.70858617222534,3.89393507641475,229.712318977025,230.702842210242,229.931954178501,9.40376176004809,5.62276555422011,7.72947512937356,49.9850804265266,49.9850749750634,2987.44950730387,2981.34038513698,89.6620807914139,-86.20362397926,6.92238650089315,-5.39873127443018,-1.5236552262541,9.03460717302175,3.8564044735577,3.37633890543656,0.591021089740636,11.7007388833929,4.13523623207268,-6.85242381663528,5.32231733074332,1.53010648463815,1.10478834199798,5.62276555422011,9.33852320381401,10.470457277997,0,5.67017143988661,1,,6,"DG1 pulse 5 open",32,32,32,[1 1 1 1 0 1],[1 1 1 1 1 1],6.0152591
227.683588471864,231.423706916211,229.419712447271,8.46828950121625,9.73614529572416,3.89832032016159,229.712288833261,230.701891860289,229.931610504833,9.41288048385155,5.65515711769525,7.72669668674635,49.9850794771663,49.9850754772572,2988.24414949553,2980.56391587243,89.2324530279908,-85.7133590373798,-6.94415173843677,5.41698169352878,1.52717004600874,0.606124498364815,11.7411889063574,4.14099656747054,9.05692590139305,3.84918191842456,3.3768898402055,6.87388172569145,-5.34174541439902,-1.53213631271019,10.4767484395954,0,5.66029007343031,1.09957204639007,5.65515711769525,9.34358877679175,1,,7,"DG1 pulse 6 open",32,32,32,[1 1 1 1 1 0],[1 1 1 1 1 1],6.0013919
229.317130016915,229.076472090299,230.109023218811,7.72692117468029,9.88101093484736,5.83544422225946,230.112062972557,228.191582297602,232.083999893449,3.87894041855358,8.74450113191999,9.95334438034462,49.9850736574844,49.9850668447045,2988.89500223143,2982.8037447702,87.9104937328696,-85.446422907034,1.54910950798385,-7.15109619013883,5.60198668429413,9.37406098549197,1.27074851074987,5.83544422225946,5.62021656786419,11.0618032652604,0,-1.533618640232,7.1825451814619,-5.64892653980136,3.37141667336915,9.37644951353918,3.85163001133718,4.11272001042285,0.684801021618722,11.9723716040001,1,,8,"DG2 pulse 1 open",32,32,32,[1 1 1 1 1 1],[0 1 1 1 1 1],5.9662532
229.318616339793,229.068271505964,230.116179805455,7.72299861407981,9.89901482964478,5.84985565298907,230.114702739821,228.184532970551,232.089657641039,3.88418789513772,8.75720093029759,9.95892309496776,49.985069852669,49.9850696318256,2989.61692446164,2982.18858403183,88.2947307570889,-85.8045379265232,-1.55264213431117,7.1705481004965,-5.6179059663627,5.61018270356584,11.087909827601,0,9.37361127614014,1.24610462182315,5.84985565298907,1.53701842071734,-7.20355712854818,5.66653870809873,4.11684314912495,0.659328793412232,11.9662888140166,3.37700053860608,9.39640438849317,3.83870953797717,1,,9,"DG2 pulse 2 open",32,32,32,[1 1 1 1 1 1],[1 0 1 1 1 1],6.0689474
230.0974324826,229.332826060113,229.072771166201,5.83465985487186,7.72534817234565,9.88230267847861,232.072642699312,230.125938680579,228.187359763052,9.95436091119315,3.88102763859029,8.74610440792575,49.9850704267677,49.9850703700818,2989.48611187579,2982.19594309647,88.3351300690011,-85.8217212976039,5.60046717392853,1.55114868415961,-7.15161585999047,5.83465985487186,9.37233023279674,1.29422008320122,0,5.61627444349474,11.0531359787182,-5.64822487037106,-1.53642853033793,7.18465339687433,3.84937380802518,3.36861377961244,9.38431018764369,11.9740421438772,4.11710930307081,0.675845349588042,1,,10,"DG2 pulse 3 open",32,32,32,[1 1 1 1 1 1],[1 1 0 1 1 1],5.9971659
230.095548132172,229.33324443085,229.06948597086,5.86631570091858,7.72768893669249,9.9022115066818,232.071429218262,230.129118997459,228.188161562358,9.97045539339155,3.88399995857559,8.76911161524506,49.9850721173893,49.9850677137672,2988.69146899653,2983.07990781624,87.9353299369007,-85.4516817129822,-5.62979965364874,-1.55173012800752,7.18152978225287,0,5.62036050599134,11.0840047131412,5.86631570091858,9.37223941865356,1.23757797920366,5.67742827434488,1.53545808602027,-7.2128863599613,11.9831957079336,4.12015514786428,0.64697224409741,3.8310074997573,3.3711430482829,9.40730285306351,1,,11,"DG2 pulse 4 open",32,32,32,[1 1 1 1 1 1],[1 1 1 0 1 1],5.915948
229.05987690721,230.113446786457,229.333506415814,9.89403357915028,5.8368444178637,7.72153108517112,228.17441965384,232.083152199203,230.130093077476,8.74762578793579,9.94459846073475,3.88466921945219,49.9850665588732,49.9850737268439,2989.56144817083,2982.14223900938,87.9642716630307,-85.4535521317302,-7.16483064015265,5.60603707264808,1.55879356716757,1.26132291425978,5.8368444178637,9.37615774641997,11.0681294733279,0,5.60189224420191,7.19698861759319,-5.65456731536945,-1.54242130073733,9.38689930315735,3.84201769406404,3.37067526132778,0.649510432587683,11.9547326126207,4.12014565490307,1,,12,"DG2 pulse 5 open",32,32,32,[1 1 1 1 1 1],[1 1 1 1 0 1],5.9191812
229.060346203074,230.111399041982,229.330891839929,9.89507899428794,5.85458310955533,7.72535694553041,228.175537357848,232.086161516566,230.125447104536,8.76039009439859,9.9652739831065,3.88122512985818,49.9850668703404,49.9850733613714,2989.74800476125,2982.03428566107,88.2115224598851,-85.7086810429156,7.16888467950541,-5.61929451995774,-1.54959015944678,11.0647194021291,0,5.61895474909746,1.27164357028943,5.85458310955533,9.36998680707874,-7.20104482525566,5.66619702635877,1.53484780932633,0.667409275224392,11.9908599787677,4.11872043670466,9.39570542688663,3.83168412455716,3.36727148876687,1,,13,"DG2 pulse 6 open",32,32,32,[1 1 1 1 1 1],[1 1 1 1 1 0],6.00541
229.679885172502,229.688413403248,229.691697710478,2.52084361467739,2.50718989984988,2.5164219361762,229.908557857098,229.921298746825,229.924240655311,2.50541466461249,2.51906401683187,2.50955369079619,49.9913400656343,49.9913411518534,1733.07397309313,1730.57419686452,35.0183975258263,-30.5180661619001,-0.0101842134037071,0.0026215430867265,0.00756266987036693,2.50300146929436,2.50206935280673,2.51474745936667,2.53864883266329,2.51233072401789,2.51810704730079,0.0101814631767656,-0.00308119663087077,-0.00710026925483513,2.52272855485126,2.52138994346323,2.51382675942538,2.48805011343752,2.51673943085452,2.5053180695983,1,,14,"healthy, balanced 64  [GUARD]",64,64,64,[1 1 1 1 1 1],[1 1 1 1 1 1],6.0259253
196.003003167187,230.879349036535,267.768977996853,7.05746055581019,4.22650193105458,4.91925646814829,197.09426344613,231.430782773644,268.618047876285,6.4195721146943,4.4817135079789,5.12812646130168,49.9816484244737,49.981649178494,3675.57324515446,3664.65041932212,47.5195791120761,-185.933567516359,-0.00470739033190415,-0.00733258602330503,0.0120290903765276,7.05403633048044,4.217651594841,4.93175080512147,7.06088226553142,4.23534039023426,4.90673345007601,0.00466754079980881,0.00723100678025307,-0.0118816035937739,6.42287272054513,4.48968091633661,5.11614281809561,6.41626898539057,4.47373390641914,5.14007918182925,1,,15,"healthy, a=16 unbal   [GUARD]",16,32,32,[1 1 1 1 1 1],[1 1 1 1 1 1],7.4238912
